wav_filename,wav_filesize,transcript
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_0.wav,47404,"Guten Abend, willkommen beim ""Meteo"". "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_1.wav,64044,"Heute Nacht bringt eine Störung da und dort Regen, "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_2.wav,60204,auch morgen Morgen kann es vereinzelt Tropfen geben. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_3.wav,37164,Sonst ist es denn Morgen wieder trocken. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_4.wav,51244,"Allerdings zuerst zum Teil noch bewölkt, "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_5.wav,38444,aber die Wolken verziehen sich 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_6.wav,56364,und in den meisten Regionen gibt es einen schönen Tag 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_7.wav,37164,"mit einfach ein paar dünnen Wolken, "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_8.wav,55084,wo den Sonnenschein manchmal etwas abdämpfen können. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_9.wav,84524,Zäher sind die Wolken nur zum Teil in den Bergen 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_10.wav,71724,von der Zentral- und Ostschweiz und in Nordbünden. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_11.wav,84524,"Die Temperaturen gehen Morgen ganz ein bisschen zurück, im Norden. "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_12.wav,58924,"Am Nachmittag haben wir so 11, 12 Grad. "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_13.wav,99884,Richtig warm ist es weiterhin im Tessin mit 18 Grad. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_14.wav,78124,"Wir haben ein Hochdruckgebiet, wo auch bei uns wirkt, "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_15.wav,25644,aber auch im Mittelmeerraum. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_16.wav,69164,Ein grosser Teil darum von Mittel- und Südeuropa 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_17.wav,46124,sonniges und trockenes Wetter. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_18.wav,81964,Während die Störungen weiterhin im Norden durchziehen. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_19.wav,66604,"Und es ist eine milde Westströmung, auch im Norden. "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_20.wav,73004,Auch über den Britischen Inseln 13 bis 14 Grad. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_21.wav,92204,Und im Mittelmeerraum haben wir zum Teil noch Werte über 20 Grad. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_22.wav,44844,Auch bei uns wird sogar noch wieder milder. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_23.wav,73004,Am Sonntag haben wir schon wieder 15 Grad im Norden. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_24.wav,83244,"Dazu zuerst zum Teil Wolken, wo aber von Westen her dann auflockern. "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_25.wav,52524,"Nur ganz im Osten, vor allem in Graubünden "
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_26.wav,62764,aber zum Teil auch im Tessin könnte es etwas dichter sein. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_27.wav,101164,Der Montag dann in den meisten von Regionen von der Schweiz sonnig. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_28.wav,38444,Nur ab und zu ein paar dünne Wolken. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_29.wav,103724,Und im Mittelland haben wir zum Teil einige Nebelfelder. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_30.wav,69164,Ab Dienstag kommen dann langsam im Norden mehr Wolken rein 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_31.wav,97324,und die bringen vermutlich dann am Mittwoch einen ersten Regen. 
/Users/TobiasRordorf/Desktop/GitHub/SRT-to-CSV-and-audio-split/sliced_audio/2015_11_13_22_15_SRF1HD_Meteo_32.wav,60204,Ich wünsche Ihnen einen schönen Abend. Auf Wiederlugen. 
